Dodic,Nomenclature
AB09,""" 5.56MM,   BLUE, PRACTICE """
AB10,""" 5.56MM,   RED, PRACTICE """
AB11,""" 5.56MM,   YELLOW, PRACTICE """
AB12,""" 9MM,  YELLOW, PRACTICE"""
AB13,""" 9MM,  BLUE,  PRACTICE"""
AB14,""" 9MM,  RED, PRACTICE"""
AB15,""" 5.56MM,   YELLOW, LINKED, PRACTICE"""
AB16,""" 5.56MM,   BLUE, LINKED, PRACTICE"""
AB17,""" 5.56MM,   RED, LINKED, PRACTICE F/SAW"""
AB18,""" 30MM HEI PGU-13B/B W/MK15 LINKS"""
AB19,""" 30MM HEI PGU-13A/B CLIPPED"""
AB20,""" 30MM API PGU-14C/B “DU”"""
AB22,""" 30MM HEI PGU-14B/B"""
AB30,""" CAL .50 4 API M8/1 API-DT MK257-0"""
AB33,""" 5.56MM   SNGL RD"""
AB34,""" 7.62MM   SNGL RD"""
AB35,""" CAL .50 4 BALL M33/1 TR M17"""
AB39,""" 7.62MM, MK316-0, SPECIAL BALL, LONG RANGE"""
AB43,""" .300 WIN MAG MATCH, MK 248 MOD1"""
AB44,""" 30mm X 173mm LINKED, HEI-T, MK 266 MOD 1"""
AB49,""" 5.56MM, BALL, CARBINE, BARRIER, MK 318 MOD 0"""
AB50,""" 7.62MM, MK319-0, BALL, RIFLE, BARRIER"""
AB51,""" 30MM X 173MM, APFSDS-T, MK258 MOD 1"""
AB56,""" 5.56MM BALL  A1, M27 LINKED"""
AB57,""" 5.56MM BALL  A1, 10 ROUND CLIP"""
AB58,""" 5.56MM BALL  A1, 10 ROUND CLIP"""
AB59,""" 30 MM X 173MM, LINKED, HEI, PGU-46/B"""
AB60,""" 7.62MM SRTA M793"""
AB61,""" 30MM X 173 MK 317 MOD 0, LINKED TPDS-T"""
AB66,""" 5.56MM, SRTA, LINKED, M1037"""
AB67,""" 5.56MM, SRTA , M1037"""
AB72,""" 7.62MM BLANK  M82A1"""
AB73,""" 5.56MM BALL  A1 &TRACER  A1 LINKED"""
AB74,""" 5.56MM TRACER  A1"""
AB75,""" 5.56MM   &TRACER  A1 LINKED"""
AB76,""" 5.56MM BALL   & TRACER  A1 LINKED"""
AB77,""" 5.56MM BALL  A1"""
AB78,""" 5.56MM BALL  """
AB79,""" 7.62MM, BALL, M80A1, STRAIGHT LINKED"""
AB80,""" 7.62MM BALL M80A1 """
AB81,""" 7.62MM BALL M80A1, LINKED"""
AB82,""" 7.62MM BALL M80A1, CARTONS"""
AB84,""" 7.62MM TRACER, M62A1 CARTONS"""
AB85,""" 7.62MM TRACER, M62A1 LINKED"""
AB86,""" 7.62MM M80A1/M62A1, BALL/TRACER, LINKED 4:1"""
AB88,""" 7.62MM M80A1/M62A1, BALL/TRACER, LINKED 4:1"""
AB89,""" 7.62MM M80A1/M62A1, BALL/TRACER, LINKED 9:1"""
AB97,""" CAL 3.38 LAPUA MAGNUM"""
AB98,""" 25MM, FRANGIBLE ARMOR PIERCING, PGU-48/B"""
AC06,""" 25MM, PGU-47/U  HEI-T"""
AWAB,"""CTG ASSY, MK127-0 38 GRAM CO2 EOD (1385)"""
AX11,""" 9MM MK217-0 (SMAW) SPOTTING RIFLE"""
AX13,""" 9MM MK223-0 (SMAW) SPOTTING RIFLE"""
AY04,""" 12 GAGE BIRDSCARE/FLASH-BANG PGU-26/P (1370)"""
AY26,"""THERMALLY-INITIATED VENT SYSTEM AMRAAM (1336)"""
AY28,""" 105MM CLEARING (1315)"""
AZ33,""" 7.62MM BALL L2A2 LNKD (1305)"""
