Dodic,Nomenclature
EB25,"""FUZE, ELECT BOMB FMU-139B(T-1)/B"""
EB28,"""BOMB, GP 1000 LB BLU-110/B"""
EB33,"""BOMB, LASER GUIDED TRAINING BDU-59A/B"""
EB34,"""BOMB, LASER GUIDED TRAINING BDU-60A/B"""
EB40,"""FUZE, BOMB NOSE & TAIL FMU-139B/B"""
EB44,"""DISP & BOMB, ACFT CBU-87M/B"""
EB45,"""DISP & BOMB, ACFT CBU-87N/B"""
EB48,"""BOMB, PENETRATING BLU-116A/B"""
EB55,"""BOMB, PENETRATOR BLU-118/B"""
EB59,"""DISP, SUU-76C/B W/LEAFLET LOADING SLEEVE"""
EB60,"""DISP, SUU-76C/B W/LEAFLET LOADING SLEEVE"""
EB80,""" SIGNAL PRACT BOMB MK4-5"""
EB88,"""FUZE, BOMB NOSE & TAIL FMU-139B/B"""
EB89,"""FUZE, BOMB NOSE & TAIL FMU-139B/B"""
EB90,"""DISP & BOMB, ACFT CBU-107/B PAW"""
EB95,"""FUZE, FMU-152A/B JPF"""
EB97,"""BOMB, GP 500 LB BLU-111/B"""
EB98,"""BOMB, GP 2000 LB BLU-117/B"""
EB99,"""FUZE, FMU-152A/B JPF"""
EC09,"""BOMB, SPECIAL PURPOSE, 2000LB, BLU-119/B"""
EC11,"""FUZE, FMU-152A/B JPF"""
EC14,"""BOMB, GUIDED GP GBU-43/B MOAB"""
EC15,"""BOMB, GP BLU-120/B MOAB"""
EC19,"""FUZE SYS, BOMB FMU-143K/B"""
EC20,"""FUZE SYS, BOMB FMU-143L/B"""
EC21,"""FUZE SYS, BOMB FMU-143M/B"""
EC35,"""FUZE ASSY, BOMB FMU-139C/B NOSE & TAIL"""
EC36,"""FUZE ASSY, BOMB FMU-139C/B NOSE & TAIL"""
EC38,"""FUZE ASSY, BOMB FMU-139B/B NOSE & TAIL"""
EC39,"""FUZE ASSY, BOMB FMU-139B/B NOSE & TAIL"""
EC53,"""BOMB, GUIDED GP GBU-39/B SDB"""
EC54,"""BUZE SYSTEM, BOMB FMU-143N/B"""
EC57,"""BOMB, GUIDED GP GBU-39/B SDB"""
EC60,"""BOMB, PENETRATOR 4000 LB BLU-122/B"""
EC61,"""GUIDANCE CONTROL UNIT, WGU-36E/B"""
EC64,"""BOMB, SP, 2000 LB, BLU-121A/B"""
EC66,"""SMALL DIAMETER BOMB, GTV, GBU-39(T-1)/B"""
EC67,"""FUZE ASSY, BOMB FMU-139C/B NOSE & TAIL"""
EC68,"""FUZE ASSY, BOMB FMU-139C/B NOSE & TAIL"""
EC72,"""BOMB, PENETRATING BLU-109B/B PBXN-109"""
EC73,"""DISP & BOMB, ACFT CBU-116/B"""
EC74,"""DISP & BOMB, ACFT CBU-117/B"""
EC75,"""DISP & BOMB, ACFT CBU-118/B"""
EC80,"""BOMB, GP 500 LB BLU-111/B"""
EC81,"""BOMB, GP 1000 LB BLU-110/B"""
EC82,"""BOMB, GP 2000 LB MK84-8 (1325)"""
EC89,"""ENHANCED COMPUTER CTRL GROUP MAU-210/B"""
EC90,"""SENSOR FUZED WEAPON, CBU-105D/B"""
ED01,"""BOMB, GP 500 LB BLU-126/B"""
ED09,"""BOMB, GP 2000 LB BLU-117B/B"""
ED10,"""BOMB, GP 2000 LB BLU-117C/B"""
ED11,"""BOMB, GUIDED, GP, GBU-39A/B SDB"""
ED15,"""BOMB, GP 500 LB BLU-111B/B"""
ED16,"""BOMB, GP 500 LB BLU-111C/B"""
ED22,"""ENHANCED CCG PAVEWAY MAU-210B/B"""
ED28,"""FUZE SYSTEM, BOMB, FMU-143T/B"""
ED29,"""FUZE SYSTEM, BOMB, FMU-143S/B"""
ED30,"""FUZE SYSTEM, BOMB, FMU-143R/B"""
ED33,"""GUIDANCE CONTROL UNIT, WGU-36E/B"""
ED44,"""BOMB, SP, 2000 LB, BLU-121B/B"""
ED41,"""BOMB, GP 1000 LB BLU-110B/B"""
ED42,"""BOMB, BP 1000 LB BLU-110C/B"""
ED44,"""BOMB, SP, 2000LB, BLU-121B/B"""
ED48,"""BOMB, GUIDED, GP, GBU-39A/B SDB, FLM"""
ED49,"""BOMB, PENETRATOR, 2000 LB BLU-109C/B"""
ED51,"""FUZE, FMU-152A/B, JOINT PROGRAMMABLE"""
ED52,"""FUZE, FMU-152B/B, JOINT PROGRAMMABLE"""
EW76,""" 5.125 IN CHAFF MK182-1 (1320)"""
EW77,""" 5.125 IN PRACT Mk190-0, 1 (1320)"""
E016,"""DISP & BOMB, ACFT CBU-59A/B"""
E020,"""BOMB, GUIDED TACT MK5-6 WALLEYE II"""
E025,"""WHD SECT, MK7-6 WALLEYE II"""
E050,"""GUIDANCE SECT, GUIDED BOMB MAU-169/B"""
E067,"""GUIDANCE SECT, GUIDED BOMB MAU-169A/B"""
E068,"""GUIDANCE SECT, GUIDED BOMB MAU-169B/B"""
E069,"""GUIDANCE SECT, GUIDED BOMB MAU-169D/B"""
E075,"""BOMB, CONTINUOUS ROD MK115-0"""
E076,"""BOMB, CONTINUOUS ROD MK115-0"""
E080,"""WHD SECT, MK7-5 WALLEYE II"""
E081,"""WHD SECT, MK7-7 WALLEYE II"""
E082,"""WHD SECT, MK98-0 WALLEYE I"""
E083,"""WHD SECT, MK98-1 WALLEYE I"""
E084,"""WHD SECT MK1-3 WALLEYE"""
E085,"""WHD SECT MK1-4 WALLEYE"""
E086,"""WHD SECT MK98-2 WALLEYE"""
E087,"""WHD SECT MK98-3 WALLEYE"""
E088,"""WHD SECT MK7-8 WALLEYE"""
E089,"""WHD SECT MK7-9 WALLEYE"""
E107,"""BOMB, 1000 LB S.A.P. AN-M59A1"""
E116,"""BOMB, DEPTH MK54-1 350 LB"""
E119,"""CONTROL SECT, GUIDED BOMB MAU-157A/B"""
E125,"""CONTROL SECT, GUIDED BOMB MAU-157/B"""
E130,"""CONTROL SECT, GUIDED BOMB MAU-169/B"""
E171,"""DISP & BOMB, ACFT CBU-24B/B"""
E172,"""DISP & BOMB, ACFT CBU-49B/B"""
E173,"""DISP & BOMB, ACFT CBU-MK20-2, 3"""
E174,"""DISP & BOMB, ACFT CBU-49C/B"""
E179,"""DISP & BOMB, ACFT CS CBU-30/A"""
E184,"""DISP & BOMB, ACFT CBU-24/B, C/B"""
E186,"""DISP & BOMB, ACFT CBU-9A/A"""
E187,"""DISP & BOMB, ACFT CBU-25A/A, B/A"""
E189,"""DISP & BOMB, ACFT WP CBU-22/A, A/A"""
E190,"""DISP & BOMB, ACFT CBU-7A/A"""
E192,"""DISP & BOMB, ACFT CBU-46/A"""
E194,"""DISP & BOMB, ACFT WP CBU-12/A, A/A"""
E196,"""DISP & BOMB, ACFT CBU-14/A, A/A"""
E207,"""BOMB, FRAG AN-M41A1"""
E212,"""WHD, HE MK58-0 F/GUIDED BOMB MK1-0 WALLEYE"""
E213,"""WHD SECT, MK1-0 WALLEYE"""
E214,"""WHD SECT, MK1-2 WALLEYE"""
E218,"""BOMB, GUIDED TACT MK1-6 WALLEYE"""
E219,"""BOMB, GUIDED TACT MK1-7 WALLEYE"""
E220,"""BOMB, GUIDED TACT MK1-0 WALLEYE"""
E222,"""BOMB, GUIDED PRACT MK2-0 WALLEYE"""
E228,"""BOMB, GUIDED MK1-8 WALLEYE"""
E229,"""BOMB, GUIDED MK1-9 WALLEYE I"""
E233,"""DISP & BOMB, ACFT CBU-38/A, A/A, B/A, C/A"""
E235,"""DISP & BOMB, ACFT CBU-38(T-2)/A, A(T-2)/A"""
E238,"""DISP & BOMB, ACFT CBU-38(T-1)/A"""
E243,"""WHD SECT, PRACT MK2-2 WALLEYE (1325)"""
E244,"""WHD SECT, PRACT MK2-2 WALLEYE"""
E246,"""BOMB, GUIDED MK5-4 WALLEYE"""
E249,"""WHD SECT, MK7-4 WALLEYE II"""
E280,"""BOMB, GUIDED MK13-2 WALLEYE II ER"""
E281,"""BOMB, GUIDED MK13-3 WALLEYE II ER"""
E299,"""BOMB, CLSTR FRAG AN-M1A2"""
E309,"""BOMB, CLSTR FRAG AN-M1A2, A4"""
E337,"""CONTROL SECT, GUIDED BOMB MAU-169C/B"""
E341,"""CONTROL SECT, DCU-199B/B GUIDED BOMB MAU-169F/B"""
E463,"""BOMB, GP 250 LB MK81-1"""
E464,"""BOMB, GP 250 LB MK81-0"""
E465,"""BOMB, GP 250 LB MK81-1"""
E466,"""BOMB, GP 250 LB MK81 MODS"""
E470,"""BOMB, GP 500 LB MK82-2A TPR"""
E472,"""BOMB, GP 500 LB MK82-2A"""
E480,"""BOMB, GP 500 LB MK82-0, 1"""
E481,"""BOMB, GP 500 LB MK82-1"""
E482,"""BOMB, GP 500 LB MK82-0, 1"""
E483,"""BOMB, GP 500 LB MK82-2"""
E485,"""BOMB, GP 500 LB MK82-1"""
E487,"""BOMB, GP 500 LB MK82-1"""
E488,"""BOMB, GP 500 LB MK82-2 TP"""
E496,"""BOMB, GP 500 LB MK82-3"""
E498,"""BOMB, GP 500 LB MK82-4"""
E506,"""BOMB, GP 1000 LB MK83-4"""
E507,"""BOMB, GP 1000 LB MK83-3"""
E508,"""BOMB, GP 1000 LB MK83-4"""
E509,"""BOMB, GP 1000 LB MK83-4"""
E510,"""BOMB, GP 1000 LB MK83-5 TP"""
E513,"""BOMB, GP 1000 LB MK83-5A TPR"""
E515,"""BOMB, GP 1000 LB BLU-110/B"""
E516,"""BOMB, GP 2000 LB MK84-5A"""
E517,"""BOMB, GP 2000 LB MK84-6A"""
E531,"""BOMB, GP 3000 LB M118E1"""
E546,"""BOMB, GUIDED MK35-0 WALLEYE"""
E547,"""BOMB, GUIDED MK35-1 WALLEYE"""
E559,"""BOMB, GUIDED MK37-0 WALLEYE II"""
E562,"""BOMB, GP 15000 LB BLU-82/B"""
E745,"""BOMB, CLSTR INC TH-3 750 LB M36, E3"""
E750,"""BOMB, FRAG BLU-97A/B"""
E786,"""BOMB, SMK PWP AN-M47A4"""
E793,"""DISP & BOMB, ACFT CBU-7A(T - 1)/A (1325)"""
E794,"""DISP & BOMB, ACFT CBU-MK20-7"""
E797,"""DISP & BOMB, ACFT CBU-59A/B"""
E798,"""DISP & BOMB, ACFT CBU-20-6"""
E800,"""DISP & BOMB, ACFT CBU-52B/B"""
E803,"""DISP & BOMB, ACFT CBU-58/B, A/B"""
E805,"""DISP & BOMB, ACFT CBU-14A(T-2)/A"""
E807,"""DISP & BOMB, ACFT CBU-55/B"""
E809,"""DISP & BOMB, ACFT CBU-20-3"""
E810,"""DISP & BOMB, ACFT CBU-70/B"""
E811,"""DISP & BOMB, ACFT CBU-75A/B, B/B"""
E819,"""DISP & BOMB, ACFT CBU-MK20-4"""
E820,"""DISP & BOMB, ACFT CBU-59/B"""
E821,"""DISP & BOMB, ACFT CBU-72/B"""
E827,"""DISP & BOMB, ACFT CBU-MK20-4"""
E828,"""DISP & BOMB, ACFT CBU-71/B, A/B"""
E830,"""DISP & BOMB, ACFT CBU-59/B"""
E832,"""DISP & BOMB, ACFT CBU-55A/B"""
E834,"""DISP & BOMB, ACFT CBU-46A/A"""
E835,"""DISP & BOMB, ACFT CBU-MK20-2, 3"""
E836,"""DISP & BOMB, ACFT CBU-MK20-4"""
E837,"""DISP & BOMB, ACFT CBU-MK20-6"""
E838,"""DISP & BOMB, ACFT CBU-MK20-6"""
E839,"""DISP & BOMB, ACFT CBU-59/B"""
E847,"""DISP & BOMB, ACFT CBU-30(T-1)/A"""
E850,"""DISP & BOMB, ACFT CBU-87/B"""
E852,"""DISP & BOMB, ACFT CBU-87(T-1)/B"""
E853,"""DISP & BOMB, ACFT CBU-MK20-7"""
E854,"""DISP & BOMB, ACFT CBU-59A/B"""
E855,"""DISP & BOMB, ACFT CBU-20-8"""
E857,"""DISP & BOMB, ACFT CBU-20-8"""
E858,"""DISP & BOMB, ACFT CBU-14(T-1)/A"""
E888,"""DISP & BOMB, ACFT CBU-72A/B"""
E889,"""DISP & BOMB, ACFT CBU-87D/B"""
E890,"""DISP & BOMB, ACFT CBU-87B/B"""
E891,"""DISP & BOMB, ACFT CBU-87A/B"""
E892,"""DISP & BOMB, ACFT CBU-MK20-11"""
E893,"""DISP & BOMB, ACFT CBU-MK20-11 PRACTICE"""
E895,"""DISP & BOMB, ACFT CBU-MK20-12"""
E896,"""DISP & BOMB, ACFT CBU-MK20-12 PRACTICE"""
E898,"""DISP & BOMB, ACFT CBU-20-9"""
E899,"""DISP & BOMB, ACFT CBU-20-10"""
E901,"""DISP & BOMB, ACFT CBU-MK20-10"""
E908,"""DISP & BOMB, ACFT CBU-87C/B"""
E909,"""DISP & BOMB, ACFT CBU-97/B"""
E912,"""DISP & BOMB, ACFT CBU-99(T-1)/B"""
E913,"""DISP & BOMB, ACFT CBU-99(T-1)A/B"""
E914,"""DISP & BOMB, ACFT CBU-100(T-1)/B"""
E915,"""DISP & BOMB, ACFT CBU-100(T-1)A/B"""
E916,"""DISP & BOMB, ACFT CBU-99/B"""
E917,"""DISP & BOMB, ACFT CBU-99A/B"""
E918,"""DISP & BOMB, ACFT CBU-100/B"""
E919,"""DISP & BOMB, ACFT CBU-100A/B"""
E920,"""DISP & BOMB, ACFT CBU-87(T-3)/B"""
E950,"""BOMB, PRAC MINIATURE 3 LB MK23-1"""
E985,"""BOMBLET, BLU-97/B, P/N 809420-10"""
FW04,"""IGNITER, S & A DEVICE F/AGM-88A HARM (1337)"""
FW92,"""GUIDANCE SECT, GUIDED BOMB MAU-169A/B (1325)"""
FW98,"""INFLATION DEVICE, AUTO FLU-8A/P, B/P (1377)"""
FY28,"""FUZE SYSTEM, BOMB FMU-124A/B"""
FY53,"""BOOSTER & TAPE ASSY"""
FZ14,"""GRENADE DISCHARGER, ANTI-RIOT CS L96A1 (1330)"""
FZ15,"""GRENADE DISCHARGER, PRACT L97A1 (1330)"""
FZ16,"""GRENADE LAUNCHER, DISTRACTION M98; “N-L”"""
FZ17,"""GRENADE LAUNCHER, BLUNT TRAUMA M99; “N-L”"""
F114,"""BOMB, GP 750 LB T54E3/M117 SER"""
F126,"""BOMB, GP 2000 LB MK84-2"""
F127,"""BOMB, GP 2000 LB MK84-1, 2"""
F128,"""BOMB, GP 2000 LB MK84-1, 2"""
F140,"""BOMB, GP 2000 LB BLU-109/B"""
F142,"""BOMB, GUIDED HTP 2000 LB BLU-109A/B TP"""
F238,"""BOMB, GP 500 LB MK82-1"""
F270,"""BOMB, GP 2000 LB MK84-2"""
F272,"""BOMB, GP 2000 LB MK84-3"""
F274,"""BOMB, GP 2000 LB MK84-5 TP"""
F275,"""BOMB, GP 2000 LB MK84-4"""
F278,"""BOMB, GP 2000 LB MK84-6 TP"""
F281,"""BOMB, GP 2000 LB MK84-7"""
F282,"""BOMB, GP 2000 LB MK84-3A"""
F288,"""BOMB, GP 1000 LB PENETRATOR BLU-110A/B TP"""
F289,"""BOMB, GP 500 LB BLU-111A/B"""
F367,"""ADAPTER, FUZE MK339"""
F370,"""ADAPTER-BOOSTER & HOLDER ASSY"""
F372,"""ADAPTER-BOOSTER, BOMB T45E4/E7/M148"""
F380,"""ADAPTER-BOOSTER, BOMB T45/E1"""
F381,"""ADAPTER-BOOSTER, BOMB T46E1"""
F382,"""ADAPTER-BOOSTER, BOMB T46E3/E5"""
F384,"""ADAPTER-BOOSTER, BOMB T59"""
F386,"""ADAPTER-BOOSTER, BOMB XM146/T45E9"""
F387,"""ADAPTER-BOOSTER, BOMB XM/M147"""
F390,"""ADAPTER-BOOSTER, BOMB M150"""
F392,"""ADAPTER-BOOSTER, BOMB M148E1"""
F470,""" SIGNAL PRAC BOMB CXU-3A/B"""
F497,"""CANNISTER CLUSTER, RIOT CONTROL CS XM/M15"""
F503,"""BOOSTER, AUX BOMB"""
F504,"""BOOSTER, AUX BOMB"""
F519,"""BURSTER, BOMB AN-M20"""
F522,"""BURSTER, BOMB AN-M32"""
F526,"""BURSTER, BOMB MK5-0"""
F529,"""BURSTER, BOMB"""
F546,"""CHG, SPOTTING CXU-1/B"""
F547,"""CHG, SPOTTING CXU-2/B"""
F553,"""CHG, SPOTTING MA-1"""
F562,""" SIGNAL PRAC BOMB MK4-3"""
F676,"""FUZE, BOMB NOSE & TAIL M173"""
F677,"""FUZE, BOMB NOSE & TAIL AN-M173A1"""
F679,"""FUZE, BOMB TAIL M990E1"""
F680,"""FUZE, BOMB NOSE M904E2"""
F681,"""FUZE, BOMB NOSE M904E2"""
F688,"""FUZE, BOMB NOSE & TAIL FMU-26A/B"""
F689,"""FUZE, BOMB NOSE MK374-0"""
F694,"""FUZE, BOMB NOSE AN-M120"""
F698,"""FUZE, BOMB NOSE M140"""
F700,"""FUZE, BOMB NOSE AN-M158 (1325)"""
F701,"""FUZE, BOMB NOSE AN-M159"""
F708,"""FUZE, BOMB NOSE MK243-0"""
F716,"""FUZE, BOMB NOSE & TAIL M907, E2"""
F717,"""FUZE, BOMB NOSE & TAIL FMU-72/B"""
F718,"""FUZE, BOMB NOSE & TAIL M909"""
F720,"""FUZE, BOMB TAIL AN-MK230-4A, 4B"""
F721,"""FUZE, BOMB FMU-54/B"""
F722,"""FUZE, BOMB NOSE & TAIL FMU-7A/B, B/B"""
F723,"""FUZE, BOMB TAIL M990E3"""
F724,"""FUZE, BOMB TAIL M990E4"""
F727,"""FUZE, BOMB SIDE FMU-7/B"""
F728,"""FUZE, PROX FMU-56B/B"""
F732,"""FUZE, BOMB NOSE MK339-0"""
F734,"""FUZE, BOMB NOSE & TAIL FMU-26B/B)"""
F736,"""FUZE, BOMB NOSE MK374-1"""
F737,"""FUZE, BOMB NOSE & TAIL FMU-7C/B"""
F738,"""FUZE, BOMB NOSE & TAIL FMU-81/B"""
F739,"""FUZE, BOMB NOSE M904E4"""
F740,"""FUZE, BOMB NOSE MK339-1"""
F741,"""FUZE, BOMB NOSE FMU-95/B"""
F742,"""FUZE, BOMB NOSE FMU-107/B"""
F744,"""FUZE, PROX FMU-56D/B"""
F745,"""FUZE, PROX FMU-110/B"""
F746,"""FUZE, PROX FMU-113/B"""
F750,"""FUZE, BOMB NOSE FMU-74/B"""
F752,"""FUZE, BOMB NOSE FMU-72/B"""
F762,"""FUZE, BOMB NOSE & TAIL FMU-139/B"""
F770,"""FUZE, PROX FMU-140/B"""
F799,"""FUZE, BOMB FMU-143H/B"""
F800,"""FUZE, BOMB NOSE FMU-143G/B"""
F801,"""FUZE, BOMB NOSE FMU-143F/B"""
F808,"""FUZE, BOMB NOSE FMU-143D/B"""
F809,"""FUZE, BOMB TAIL FMU-143B/B"""
F810,"""FUZE, BOMB NOSE & TAIL FMU-139A/B"""
F822,"""FUZE, BOMB NOSE AN-M145E1"""
F826,"""FUZE, BOMB NOSE M155"""
F829,"""FUZE, BOMB NOSE AN-M147A1"""
F830,"""FUZE, BOMB NOSE M904E3"""
F834,"""FUZE, BOMB NOSE T709E4/M904E1"""
F835,"""FUZE, BOMB NOSE M904E2, E3"""
F837,"""FUZE, BOMB TAIL MK344-0"""
F841,"""FUZE, BOMB TAIL FMU-54A/B"""
F842,"""FUZE, BOMB TAIL MK344-1"""
F843,"""FUZE, BOMB TAIL FMU-143/B"""
F845,"""FUZE, BOMB M918 IMPACT, SIDE TYPE"""
F845,"""FUZE, BOMB SIDE M918"""
F849,"""FUZE, BOMB NOSE FMU-143E/B"""
F870,"""FUZE, BOMB NOSE AN-M166"""
F872,"""FUZE, BOMB NOSE AN-M168E2"""
F949,"""FUZE, BOMB TAIL AN-M100A2"""
F950,"""FUZE, BOMB TAIL AN-M101A2"""
F976,"""FUZE, BOMB TAIL AN-MK230-4, 5, 6"""
F989,"""FUZE, BOMB TAIL T771/M905"""
GG01,"""GRENADE, LNCHR SMK MM/IR SCREEN XM/M81 (1330)"""
GG03,"""GRENADE, LNCHR SMK TA SCREEN XM/M90"""
GG04,"""GRENADE, HAND RUBBER (STING) BALL; “N-L”"""
GG04,"""GRENADE, HAND, BURSTING M104; “N-L”)"""
GG06,"""MUNITION, RIFLE 5.56MM AREA FIRE XM/M95; “N-L”"""
GG09,"""GRENADE, HAND STUN XM/M84/A1; “N-L” (1330)"""
GG10,"""GRENADE, HAND SMOKE M18 FOUR COLOR PACK"""
GG12,"""GRENADE, RIFLE ENTRY MUNITION (GREM) M100"""
GG14,"""FUZE, HAND GREN PRACT MK439-0"""
GG16,"""FUZE, HAND GREN M201A1 MOD 2"""
GG19,"""FUZE, HAND GREN M204 STUN; “N-L”"""
GG20,"""GRENADE, HAND DIVERSIONARY MK13-0 BTV-1 EL"""
GG21,"""GRENADE, HAND ASM MK14-0"""
GG24,"""GRENADE, VISUAL & INFRARED SCREENING SMK, 66MM"""
GG25,"""GRENADE, HAND, SMOKE, VISUAL, M106"""
GG26,"""FUZE, HAND GRENADE, STUN, RELOADABLE, M240A1"""
GG31,"""GRENADE, HAND, SMOKE, YELLOW, MK 16 MOD 0"""
GG32,"""GRENADE, HAND, SMOKE, GREEN, MK 17 MOD 0"""
GG33,"""GRENADE, HAND, SMOKE, VIOLET, MK 18 MOD 0"""
GG34,"""GRENADE, HAND, SMOKE, WHITE, MK 19 MOD 0"""
GG36,"""GRENADE, HAND, DIVERSIONARY, MK 20 MOD 0"""
GWAS,"""DESTRUCTOR, EXPLOSIVE, MK 64 MOD 0 (1351)"""
GW04,"""INITIATOR, MK13-0 F/FIREBOMB (1325)"""
GW45,"""BATTERY, PRIMARY, MK 46 MOD 2 (6135)"""
GW67,"""CTG ASSY, F/LT WT EARTH ANCHOR (1377)"""
GW96,"""PROPULSION ASSY F/5.125 IN MORTAR CHAFF (1320)"""
G042,"""INITIATOR, BOMB FUZE (1325)"""
G101,"""FUZE, BOMB TAIL M152A1"""
G104,"""FUZE, BOMB TAIL MK376-0"""
G105,"""FUZE, BOMB NOSE AND TAIL FMU-124A/B"""
G106,"""FUZE, BOMB NOSE AND TAIL FMU-124B/B"""
G109,"""FUZE, BOMB TAIL MK346-0"""
G118,"""FUZE SET, BOMB FMU-124B/B"""
G119,"""FUZE SET, BOMB FMU-139A/B"""
G197,"""IGNITER, BOMB WP M23"""
G198,"""IGNITER, BOMB WP AN-M23A1 (1330-00-025-3271)"""
G198,"""IGNITER, BOMB WP AN-M23A1 (1330-00-025-3277)"""
G210,"""IGNITER, BOMB MK273-0"""
G212,"""DELAY ELEMENT, FUZE BOMB M905 NON-DELAY"""
G213,"""DELAY ELEMENT, FUZE BOMB M905 .010 SEC DELAY"""
G214,"""DELAY ELEMENT, FUZE BOMB M905 .025 SEC DELAY"""
G215,"""DELAY ELEMENT, FUZE BOMB M905 .050 SEC DELAY"""
G216,"""DELAY ELEMENT, FUZE BOMB M905 .100 SEC DELAY"""
G217,"""DELAY ELEMENT, FUZE BOMB M905 .250 SEC DELAY"""
G374,"""EXTENSION, FUZE, BOMB 18 IN M1/E1/A1"""
G376,"""EXTENSION, FUZE, BOMB, 36 IN MI/E1/A1"""
G382,"""TARGET DETECTING DEVICE, FUZE MK43-0"""
G495,"""CCG, GUIDED BOMB MAU-169E/B"""
G496,"""CCG, GUIDED BOMB MAU-169F/B"""
G800,"""ADAPTER, GREN PROJ M1A1, A2"""
G801,"""ADAPTER, GREN PROJ M1"""
G803,"""ADAPTER, GREN PROJ M1A2"""
G805,"""ADAPTER, GREN PROJ M2, A1"""
G815,"""GRENADE, LNCHR SMK RP SCREEN UK L8A1/L8A3"""
G826,"""GRENADE, LNCHR SMK IR SCREEN M76"""
G837,""" GREN CAL .30 CARBINE M6"""
G838,""" GREN CAL .30 RIFLE M3"""
G839,""" GREN 7.62MM RIFLE M64"""
G840,""" GREN CAL .22 MORTAR TRNG"""
G841,""" GREN 5.56MM RIFLE M195"""
G850,"""CHG, PRAC HAND GREN M21/30/MK2 W/O PLUG"""
G851,"""CHG, PRAC HAND GREN M21/30/MK2 W/PLUG"""
G862,"""FUZE, HAND GREN GEN PURPOSE XM/M224"""
G863,"""FUZE, HAND GRENADE M219A1"""
G870,"""FUZE, HAND GREN PRAC M205A2"""
G872,"""FUZE, HAND GREN OFF M206 & A2, M6A3"""
G873,"""FUZE, HAND GREN M204A1 & A2"""
G873,"""FUZE, HAND GREN PRAC M10A3 (1330-00-028-5850)"""
G874,"""FUZE, HAND GREN M201A1"""
G877,"""FUZE, HAND GREN M213"""
G878,"""FUZE, HAND GREN M228"""
G880,"""GRENADE. HAND FRAG M61"""
G881,"""GRENADE, HAND FRAG M67"""
G890,"""GRENADE, HAND FRAG MK2/M26 SER"""
G892,"""GRENADE, HAND FRAG MK2A1"""
G895,"""GRENADE, HAND ILLUM MK1-0, 1, 2"""
G900,"""GRENADE, HAND INC TH-3 AN-M14"""
G905,"""GRENADE, HAND RIOT CN-DM M6"""
G910,"""GRENADE, HAND OFFENSIVE MK3A1, A2"""
G911,"""GRENADE, HAND OFFENSIVE MK3A2"""
G916,"""GRENADE, HAND PRAC M21"""
G918,"""GRENADE, HAND PRAC M69"""
G922,"""GRENADE, HAND RIOT CS XM47E3/M47"""
G924,"""GRENADE, HAND RIOT CS-1 M25A2"""
G927,"""GRENADE, HAND RIOT CN-1 ABC-M25A1"""
G929,"""GRENADE, HAND RIOT SIMULANT T1 M25A2"""
G930,"""GRENADE, HAND SMK HC AN-M8"""
G932,"""GRENADE, HAND SMK RED XM48E3/M48"""
G935,"""GRENADE, HAND SMK WP M15"""
G937,"""GRENADE, HAND & RIFLE SMK WP M34"""
G940,"""GRENADE, HAND SMK GRN M18"""
G945,"""GRENADE, HAND SMK YLW M18"""
G950,"""GRENADE, HAND SMK RED M18"""
G955,"""GRENADE, HAND SMK VIO M18"""
G960,"""GRENADE, HAND RIOT CN M7, A1"""
G963,"""GRENADE, HAND RIOT CS M7A2, A3"""
G970,"""GRENADE, RIFLE HEAT M28, M31"""
G978,"""GRENADE, LNCHR SMK SIMUL SCREEN M82"""
G978,"""GRENADE, LNCHR SMK SIMUL SCREEN M82"""
G980,"""GRENADE, RIFLE PRAC W/GREN CTG"""
G982,"""GRENADE, HAND PRAC SMK TA XM/M83"""
G995,"""GRENADE, RIFLE SMK GRN M22"""
HA02,"""WHD, 2.75 IN FLECHETTE WDU-4A/A (1340)"""
HA03,"""RCKT MTR, 2.75 IN MK66-2"""
HA06,"""WHD, 2.75 IN IR ILLUM M278"""
HA07,"""RCKT MTR, 2.75 IN MK66-4"""
HA08,"""RCKT & LNCHR, 83MM HEDP XM/M141 (SMAW-D)"""
HA09,"""RCKT, 2.75 IN HE WHD M229 MTR MK66-4"""
HA10,"""RCKT, 2.75 IN IR FLARE WHD M278 MTR MK66-4"""
HA11,"""RCKT, 2.75 IN FLECHETTE WHD M255A1 MTR MK 66-4"""
HA12,"""RCKT, 2.75 IN HE WHD M151 MTR MK66-4"""
HA13,"""RCKT, 2.75 IN PRAC WHD M274 MTR MK66-4"""
HA14,"""RCKT, 2.75 IN HE WHD M261 MTR MK66-4"""
HA15,"""RCKT, 2.75 IN RP SMK WHD M264 MTR MK66-4"""
HA16,"""RCKT, 84MM HEAT FFV551 IM WHD"""
HA17,"""RCKT, 2.75 IN PRAC WHD M267 MTR MK66-4"""
HA18,"""RCKT, 2.75 IN FLARE WHD M257 MTR MK66-4"""
HA19,"""RCKT MTR ASSY, F/RPV PIONEER MK125-2 RATO"""
HA21,"""RCKT ASSY, 21MM M72AS LAW M72 TRNG"""
HA22,"""RCKT POD, 298MM XM/M30 DPICM GMLRS; “S/L INFO”"""
HA25,"""LAUNCHER W/19 RCKT MTR, 2.75 IN MK66-2"""
HA26,"""LAUNCHER W/7 RCKT MTR 2.75 IN MK66-2"""
HA27,"""LAUNCHER W/19 RCKT MTR 2.75 IN MK66-4"""
HA28,"""LAUNCHER W/7 RCKT MTR 2.75 IN MK66-4"""
HA29,"""RCKT, 66MM HE M72A7 LAW W/GRAZE"""
